brand,category_code,event_type
akg,electronics.audio.microphone,view
akor,construction.components.faucet,view
akpo,appliances.kitchen.hob,cart
akpo,appliances.kitchen.hob,view
akpo,appliances.kitchen.hood,cart
akpo,appliances.kitchen.hood,purchase
akpo,appliances.kitchen.hood,view
akpo,appliances.kitchen.oven,cart
akpo,appliances.kitchen.oven,view
akro,appliances.kitchen.hood,cart
akro,appliances.kitchen.hood,purchase
akro,appliances.kitchen.hood,view
aksion,appliances.kitchen.meat_grinder,cart
aksion,appliances.kitchen.meat_grinder,purchase
aksion,appliances.kitchen.meat_grinder,view
akvafor,stationery.cartrige,cart
akvafor,stationery.cartrige,view
akvarel,furniture.living_room.cabinet,view
akvaton,furniture.living_room.cabinet,cart
akvaton,furniture.living_room.cabinet,purchase
akvaton,furniture.living_room.cabinet,view
al-ko,construction.tools.saw,view
al-ko,country_yard.lawn_mower,cart
al-ko,country_yard.lawn_mower,view
aladen,apparel.shoes,view
alaskaoriginale,apparel.shoes,cart
alaskaoriginale,apparel.shoes,purchase
alaskaoriginale,apparel.shoes,view
alavann,furniture.living_room.cabinet,view
alca,auto.accessories.compressor,cart
alca,auto.accessories.compressor,purchase
alca,auto.accessories.compressor,view
alctron,electronics.audio.headphone,view
alctron,electronics.audio.microphone,cart
alctron,electronics.audio.microphone,purchase
alctron,electronics.audio.microphone,view
aldit,furniture.universal.light,view
alesis,electronics.audio.acoustic,cart
alesis,electronics.audio.acoustic,purchase
alesis,electronics.audio.acoustic,view
alesis,electronics.audio.headphone,cart
alesis,electronics.audio.headphone,purchase
alesis,electronics.audio.headphone,view
alesis,electronics.audio.music_tools.piano,cart
alesis,electronics.audio.music_tools.piano,purchase
alesis,electronics.audio.music_tools.piano,view
aletant,appliances.kitchen.washer,view
alfa,furniture.universal.light,view
alilo,kids.toys,cart
alilo,kids.toys,purchase
alilo,kids.toys,view
alis,kids.carriage,cart
alis,kids.carriage,purchase
alis,kids.carriage,view
alligator,auto.accessories.alarm,cart
alligator,auto.accessories.alarm,purchase
alligator,auto.accessories.alarm,view
alligator,auto.accessories.compressor,view
almacom,appliances.environment.air_conditioner,cart
almacom,appliances.environment.air_conditioner,purchase
almacom,appliances.environment.air_conditioner,view
almacom,appliances.environment.air_heater,cart
almacom,appliances.environment.air_heater,purchase
almacom,appliances.environment.air_heater,view
almacom,appliances.environment.water_heater,cart
almacom,appliances.environment.water_heater,purchase
almacom,appliances.environment.water_heater,view
almacom,appliances.kitchen.refrigerators,cart
almacom,appliances.kitchen.refrigerators,purchase
almacom,appliances.kitchen.refrigerators,view
almacom,computers.components.cooler,cart
almacom,computers.components.cooler,purchase
almacom,computers.components.cooler,view
almaks,furniture.bedroom.pillow,view
alphard,electronics.audio.subwoofer,cart
alphard,electronics.audio.subwoofer,purchase
alphard,electronics.audio.subwoofer,view
alpicool,appliances.kitchen.refrigerators,cart
alpicool,appliances.kitchen.refrigerators,purchase
alpicool,appliances.kitchen.refrigerators,view
alpina,apparel.shoes,cart
alpina,apparel.shoes,purchase
alpina,apparel.shoes,view
alpina,electronics.clocks,cart
alpina,electronics.clocks,view
alpina,sport.ski,cart
alpina,sport.ski,purchase
alpina,sport.ski,view
alpine,auto.accessories.player,cart
alpine,auto.accessories.player,purchase
alpine,auto.accessories.player,view
alpine,auto.accessories.videoregister,cart
alpine,auto.accessories.videoregister,view
alpine,electronics.audio.subwoofer,cart
alpine,electronics.audio.subwoofer,purchase
alpine,electronics.audio.subwoofer,view
alser,computers.desktop,cart
alser,computers.desktop,purchase
alser,computers.desktop,view
altacto,kids.toys,cart
altacto,kids.toys,purchase
altacto,kids.toys,view
altair,kids.skates,view
altair,sport.bicycle,cart
altair,sport.bicycle,purchase
altair,sport.bicycle,view
alteco,appliances.environment.air_heater,cart
alteco,appliances.environment.air_heater,purchase
alteco,appliances.environment.air_heater,view
alteco,auto.accessories.compressor,cart
alteco,auto.accessories.compressor,purchase
alteco,auto.accessories.compressor,view
alteco,construction.tools.drill,cart
alteco,construction.tools.drill,purchase
alteco,construction.tools.drill,view
alteco,construction.tools.generator,cart
alteco,construction.tools.generator,purchase
alteco,construction.tools.generator,view
alteco,construction.tools.painting,cart
alteco,construction.tools.painting,purchase
alteco,construction.tools.painting,view
alteco,construction.tools.pump,cart
alteco,construction.tools.pump,purchase
alteco,construction.tools.pump,view
alteco,construction.tools.saw,cart
alteco,construction.tools.saw,purchase
alteco,construction.tools.saw,view
alteco,construction.tools.welding,cart
alteco,construction.tools.welding,purchase
alteco,construction.tools.welding,view
alteco,country_yard.lawn_mower,view
alterna,furniture.living_room.cabinet,cart
alterna,furniture.living_room.cabinet,view
alvarez,electronics.audio.acoustic,view
alvitek,furniture.bedroom.blanket,cart
alvitek,furniture.bedroom.blanket,purchase
alvitek,furniture.bedroom.blanket,view
alvitek,furniture.bedroom.pillow,cart
alvitek,furniture.bedroom.pillow,purchase
alvitek,furniture.bedroom.pillow,view
am.pm,construction.components.faucet,cart
am.pm,construction.components.faucet,purchase
am.pm,construction.components.faucet,view
am.pm,furniture.bathroom.bath,view
am.pm,furniture.bathroom.toilet,cart
am.pm,furniture.bathroom.toilet,view
amazon,computers.ebooks,cart
amazon,computers.ebooks,purchase
amazon,computers.ebooks,view
amd,computers.components.cooler,view
amd,computers.components.cpu,cart
amd,computers.components.cpu,purchase
amd,computers.components.cpu,view
amd,computers.components.hdd,view
amd,computers.components.memory,cart
amd,computers.components.memory,purchase
amd,computers.components.memory,view
amd,computers.components.videocards,view
amen,accessories.bag,cart
amen,accessories.bag,purchase
amen,accessories.bag,view
americanmotionfitness,sport.trainer,view
amistar,electronics.audio.acoustic,cart
amistar,electronics.audio.acoustic,view
ampm,construction.components.faucet,view
ams,auto.accessories.player,cart
ams,auto.accessories.player,purchase
ams,auto.accessories.player,view
andromeda,accessories.bag,cart
andromeda,accessories.bag,view
anex,kids.carriage,cart
anex,kids.carriage,purchase
anex,kids.carriage,view
annaanna,apparel.costume,view
annaanna,apparel.dress,cart
annaanna,apparel.dress,purchase
annaanna,apparel.dress,view
annovireverberi,appliances.environment.vacuum,cart
annovireverberi,appliances.environment.vacuum,view
anon,sport.ski,cart
anon,sport.ski,purchase
anon,sport.ski,view
anreks,furniture.kitchen.table,cart
anreks,furniture.kitchen.table,purchase
anreks,furniture.kitchen.table,view
anreks,furniture.living_room.cabinet,view
ansmann,construction.tools.light,cart
ansmann,construction.tools.light,purchase
ansmann,construction.tools.light,view
ansmann,sport.bicycle,cart
ansmann,sport.bicycle,view
anta,apparel.shoes.keds,cart
anta,apparel.shoes.keds,purchase
anta,apparel.shoes.keds,view
antika,furniture.bathroom.bath,cart
antika,furniture.bathroom.bath,purchase
antika,furniture.bathroom.bath,view
anytek,auto.accessories.videoregister,cart
anytek,auto.accessories.videoregister,purchase
anytek,auto.accessories.videoregister,view
aoc,computers.peripherals.monitor,cart
aoc,computers.peripherals.monitor,purchase
aoc,computers.peripherals.monitor,view
aoc,electronics.video.tv,view
aoki,appliances.sewing_machine,cart
aoki,appliances.sewing_machine,view
aorus,computers.peripherals.monitor,cart
aorus,computers.peripherals.monitor,purchase
aorus,computers.peripherals.monitor,view
apacer,computers.components.hdd,cart
apacer,computers.components.hdd,purchase
apacer,computers.components.hdd,view
apacer,computers.components.memory,cart
apacer,computers.components.memory,purchase
apacer,computers.components.memory,view
apart,electronics.audio.acoustic,view
apart,electronics.audio.microphone,view
apollo,appliances.kitchen.kettle,cart
apollo,appliances.kitchen.kettle,purchase
apollo,appliances.kitchen.kettle,view
apple,accessories.bag,cart
apple,accessories.bag,purchase
apple,accessories.bag,view
apple,computers.desktop,cart
apple,computers.desktop,purchase
apple,computers.desktop,view
apple,computers.notebook,cart
apple,computers.notebook,purchase
apple,computers.notebook,view
apple,computers.peripherals.keyboard,cart
apple,computers.peripherals.keyboard,purchase
apple,computers.peripherals.keyboard,view
apple,computers.peripherals.mouse,cart
apple,computers.peripherals.mouse,purchase
apple,computers.peripherals.mouse,view
apple,electronics.audio.headphone,cart
apple,electronics.audio.headphone,purchase
apple,electronics.audio.headphone,view
apple,electronics.clocks,cart
apple,electronics.clocks,purchase
apple,electronics.clocks,view
apple,electronics.smartphone,cart
apple,electronics.smartphone,purchase
apple,electronics.smartphone,view
apple,electronics.tablet,cart
apple,electronics.tablet,purchase
apple,electronics.tablet,view
apriori,furniture.living_room.sofa,cart
apriori,furniture.living_room.sofa,view
aqua,appliances.environment.water_heater,cart
aqua,appliances.environment.water_heater,purchase
aqua,appliances.environment.water_heater,view
aqualife,furniture.living_room.cabinet,cart
aqualife,furniture.living_room.cabinet,purchase
aqualife,furniture.living_room.cabinet,view
aquamarine,stationery.cartrige,view
aquatic,accessories.bag,cart
aquatic,accessories.bag,purchase
aquatic,accessories.bag,view
aquaverso,appliances.environment.water_heater,view
ara,apparel.shoes,cart
ara,apparel.shoes,purchase
ara,apparel.shoes,view
ara,apparel.shoes.sandals,view
ardesia,appliances.kitchen.hob,view
ardesia,appliances.kitchen.hood,view
ardesia,appliances.kitchen.oven,view
ardo,appliances.kitchen.hood,view
ardo,appliances.kitchen.refrigerators,view
arg,appliances.kitchen.meat_grinder,cart
arg,appliances.kitchen.meat_grinder,purchase
arg,appliances.kitchen.meat_grinder,view
arg,appliances.kitchen.microwave,cart
arg,appliances.kitchen.microwave,purchase
arg,appliances.kitchen.microwave,view
arg,appliances.kitchen.mixer,cart
arg,appliances.kitchen.mixer,purchase
arg,appliances.kitchen.mixer,view
arg,appliances.kitchen.oven,cart
arg,appliances.kitchen.oven,purchase
arg,appliances.kitchen.oven,view
arg,appliances.kitchen.refrigerators,cart
arg,appliances.kitchen.refrigerators,purchase
arg,appliances.kitchen.refrigerators,view
arg,appliances.kitchen.washer,cart
arg,appliances.kitchen.washer,purchase
arg,appliances.kitchen.washer,view
arg,appliances.personal.hair_cutter,cart
arg,appliances.personal.hair_cutter,view
arg,electronics.video.tv,cart
arg,electronics.video.tv,purchase
arg,electronics.video.tv,view
aria,electronics.audio.acoustic,cart
aria,electronics.audio.acoustic,purchase
aria,electronics.audio.acoustic,view
ariete,appliances.kitchen.coffee_machine,cart
ariete,appliances.kitchen.coffee_machine,view
ariete,appliances.kitchen.kettle,view
ariete,appliances.kitchen.mixer,cart
ariete,appliances.kitchen.mixer,purchase
ariete,appliances.kitchen.mixer,view
ariston,appliances.environment.water_heater,cart
ariston,appliances.environment.water_heater,purchase
ariston,appliances.environment.water_heater,view
ark,electronics.smartphone,view
armani,electronics.clocks,cart
armani,electronics.clocks,purchase
armani,electronics.clocks,view
arnica,appliances.environment.vacuum,cart
arnica,appliances.environment.vacuum,purchase
arnica,appliances.environment.vacuum,view
arnica,appliances.kitchen.blender,cart
arnica,appliances.kitchen.blender,purchase
arnica,appliances.kitchen.blender,view
arnica,appliances.kitchen.grill,view
arnica,appliances.kitchen.juicer,cart
arnica,appliances.kitchen.juicer,view
arnica,appliances.kitchen.kettle,cart
arnica,appliances.kitchen.kettle,view
arnica,appliances.kitchen.meat_grinder,cart
arnica,appliances.kitchen.meat_grinder,view
arno,kids.swing,cart
arno,kids.swing,view
arstisa,accessories.bag,view
artel,appliances.environment.air_conditioner,cart
artel,appliances.environment.air_conditioner,purchase
artel,appliances.environment.air_conditioner,view
artel,appliances.environment.vacuum,cart
artel,appliances.environment.vacuum,purchase
artel,appliances.environment.vacuum,view
artel,appliances.environment.water_heater,cart
artel,appliances.environment.water_heater,purchase
